analysis_family,arm_role,behavior_states,cluster_key,eval_sets,mean_stated_confidence,n,prompt_contract
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_medium|topic=number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:3,0.500000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:6,label=known|wh_how|question_length_medium|topic=number|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:6,1.000000,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:40,label=known|wh_how|question_length_medium|topic=number|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:40,0.000000,40,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:2,label=known|wh_how|question_length_medium|topic=person+causal+quote_present|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:2,0.975000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_how|question_length_medium|topic=person+causal+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:1,1.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_how|question_length_medium|topic=person+date_time|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.750000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_how|question_length_medium|topic=person+date_time|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:1,0.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:4,label=known|wh_how|question_length_medium|topic=person+number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:4,0.912500,4,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_how|question_length_medium|topic=person+number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:1,0.500000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:2,label=known|wh_how|question_length_medium|topic=person+number|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:2,1.000000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:5,label=known|wh_how|question_length_medium|topic=person+number|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:5,0.000000,5,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:6,label=known|wh_how|question_length_medium|topic=person+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:6,0.966667,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_medium|topic=place+number+entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_medium|topic=place+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.933333,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_medium|topic=quote_present+entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:7,label=known|wh_how|question_length_medium|topic=subjective_normative|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:7,0.950000,7,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:2,label=known|wh_how|question_length_medium|topic=subjective_normative|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:2,1.000000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_medium|topic=subjective_normative|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_short|topic=definition|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.933333,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_short|topic=entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_how|question_length_short|topic=no_topic_tag|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.816667,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_how|question_length_short|topic=no_topic_tag|behavior=known_answered_incorrect_failure|answer=answered_short,selfaware:1,,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:46,label=known|wh_how|question_length_short|topic=no_topic_tag|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:46,0.931522,46,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_short|topic=no_topic_tag|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:3,1.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:19,label=known|wh_how|question_length_short|topic=no_topic_tag|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:19,0.000000,19,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_short|topic=number+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_short|topic=number+entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:6,label=known|wh_how|question_length_short|topic=number+quote_present|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:6,0.000000,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:12,label=known|wh_how|question_length_short|topic=number|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:12,0.983333,12,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:46,label=known|wh_how|question_length_short|topic=number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:46,0.952174,46,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:11,label=known|wh_how|question_length_short|topic=number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:11,0.500000,11,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:4,label=known|wh_how|question_length_short|topic=number|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:4,1.000000,4,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:29,label=known|wh_how|question_length_short|topic=number|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:29,0.000000,29,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:7,label=known|wh_how|question_length_short|topic=person+number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:7,0.964286,7,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_how|question_length_short|topic=person+number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:1,0.500000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_how|question_length_short|topic=person+number|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:3,1.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_how|question_length_short|topic=person+number|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:1,0.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:4,label=known|wh_how|question_length_short|topic=quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:4,0.962500,4,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:2,label=known|wh_how|question_length_short|topic=quote_present|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:2,0.000000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_how|question_length_short|topic=subjective_normative|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_how|question_length_short|topic=subjective_normative|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:1,0.500000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_short|topic=temporal_future+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_how|question_length_short|topic=temporal_future|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.966667,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=causal+quote_present|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.966667,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_other|question_length_long|topic=causal|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.875000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_other|question_length_long|topic=causal|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:1,0.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=comparison|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=date_time+definition|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_other|question_length_long|topic=date_time+number+entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_other|question_length_long|topic=date_time+number+quote_present+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_other|question_length_long|topic=date_time+number+quote_present+entity_heavy|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:1,0.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_other|question_length_long|topic=definition+comparison+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_other|question_length_long|topic=definition+comparison+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:1,0.500000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=definition+entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.800000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=definition+quote_present+entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.983333,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:10,label=known|wh_other|question_length_long|topic=definition|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:10,0.980000,10,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_other|question_length_long|topic=definition|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,1.000000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:6,label=known|wh_other|question_length_long|topic=entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:6,0.983333,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:9,label=known|wh_other|question_length_long|topic=entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:9,0.961111,9,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_other|question_length_long|topic=list+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.966667,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=no_topic_tag|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:22,label=known|wh_other|question_length_long|topic=no_topic_tag|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:22,0.940909,22,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:5,label=known|wh_other|question_length_long|topic=no_topic_tag|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:5,0.500000,5,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_other|question_length_long|topic=number+comparison+quote_present+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.933333,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_other|question_length_long|topic=number+comparison|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_other|question_length_long|topic=number+comparison|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:1,0.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:1,label=known|wh_other|question_length_long|topic=number+entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:1,1.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:5,label=known|wh_other|question_length_long|topic=number+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:5,0.980000,5,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=number+quote_present+entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_other|question_length_long|topic=number+subjective_normative|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_other|question_length_long|topic=number+subjective_normative|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:1,0.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:6,label=known|wh_other|question_length_long|topic=number|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:6,0.966667,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:12,label=known|wh_other|question_length_long|topic=number|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:12,0.920833,12,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_other|question_length_long|topic=person+causal+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:2,label=known|wh_other|question_length_long|topic=person+comparison+quote_present|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_other|question_length_long|topic=person+comparison+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:1,0.950000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_other|question_length_long|topic=person+date_time+number+quote_present+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.966667,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:2,label=known|wh_other|question_length_long|topic=person+date_time+quote_present+entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_other|question_length_long|topic=person+date_time+quote_present+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:1,0.950000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:3,label=known|wh_other|question_length_long|topic=person+date_time|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:3,0.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:2,label=known|wh_other|question_length_long|topic=person+definition+comparison+causal+quote_present|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_other|question_length_long|topic=person+definition+comparison+causal+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:1,0.950000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=person+entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,1.000000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=person+place+quote_present+entity_heavy|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.966667,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_other|question_length_long|topic=person+quote_present+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.950000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:1,label=known|wh_other|question_length_long|topic=person+quote_present+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=medium,selfaware:1,0.500000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_long|topic=person+quote_present|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:6,label=known|wh_other|question_length_long|topic=person|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:6,0.958333,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:6,label=known|wh_other|question_length_long|topic=person|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:6,0.991667,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_other|question_length_long|topic=place+entity_heavy|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:2,label=known|wh_other|question_length_long|topic=place+subjective_normative+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:2,0.850000,2,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_other|question_length_long|topic=place+subjective_normative+quote_present|behavior=known_refused_overrefusal|answer=refusal|confidence=low,selfaware:1,0.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:6,label=known|wh_other|question_length_long|topic=quote_present|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:6,0.991500,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:6,label=known|wh_other|question_length_long|topic=quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:6,0.958333,6,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:3,label=known|wh_other|question_length_long|topic=subjective_normative+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:3,0.950000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_medium|topic=causal+quote_present|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.900000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:5,label=known|wh_other|question_length_medium|topic=causal+quote_present|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:5,0.950000,5,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_refused_overrefusal:1,label=known|wh_other|question_length_medium|topic=causal+quote_present|behavior=known_refused_overrefusal|answer=refusal|confidence=high,selfaware:1,1.000000,1,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:3,label=known|wh_other|question_length_medium|topic=causal|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:3,0.900000,3,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_incorrect_failure:9,label=known|wh_other|question_length_medium|topic=causal|behavior=known_answered_incorrect_failure|answer=answered_short|confidence=high,selfaware:9,0.922222,9,stated_confidence_answer_confidence
amendment_b,sft_dpo,known_answered_correct_useful:5,label=known|wh_other|question_length_medium|topic=comparison|behavior=known_answered_correct_useful|answer=answered_short|confidence=high,selfaware:5,0.900000,5,stated_confidence_answer_confidence
