analysis_family,arm_dir,computed_count_n,counts_match,has_answer_text,has_stated_confidence,include_status,metrics_count_n,prompt_contract,result_dir,row_count,schema_keys
amendment_a,sft_merged__truthfulqa,256,true,false,false,include,256,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,256,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_dpo_seed2__selfaware,3369,true,false,false,exclude,3369,plain_answer,archive/experiment/phase1/eval/results_amendment_a_selfaware_full_seed2_sft_dpo_local_4b,3369,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_b,base_seed1__selfaware,0,true,false,false,exclude,,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seed1_base_smoke_4b,0,
amendment_b,sft_dpo_seed1__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed1_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
amendment_b,sft_kto_seed1__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed1_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
amendment_b,sft_merged_seed1__selfaware,0,true,false,false,exclude,,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seed1_all_arms_4b,0,
amendment_b,sft_merged_seed1__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed1_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
amendment_b,sft_dpo_seed2__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed2_sft_dpo_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
amendment_b,sft_kto_seed2__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed2_sft_kto_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
amendment_b,sft_merged_seed2__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed2_sft_merged_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
amendment_b,sft_dpo_seed3__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed3_sft_dpo_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
amendment_b,sft_kto_seed3__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed3_sft_kto_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
amendment_b,sft_merged_seed3__selfaware,3369,true,true,true,include,3369,stated_confidence_answer_confidence,archive/experiment/phase1/eval/results_amendment_b_stated_confidence_neutral_concise_schema_answer_confidence_selfaware_seq_seed3_sft_merged_4b,3369,answer_text|arm|config_sha|correct|eval_set|generated_answer|generation_attempts|id|label|method|model|question|refused|row_index|source|stated_confidence|stated_confidence_retry_count|stated_confidence_retry_exhausted|truthful
