analysis_family,category_axis,category_value,arm_role,n,answered_count,refused_count,answer_rate,answer_rate_ci_low,answer_rate_ci_high,refusal_rate,mean_stated_confidence,confidence_n
amendment_a,epistemic_type,other_unclear,sft_merged,3,1,2,0.333333,0.061490,0.792345,0.666667,,0
amendment_a,epistemic_type,subjective_normative,sft_dpo,33,31,2,0.939394,0.803934,0.983219,0.060606,,0
amendment_a,epistemic_type,subjective_normative,sft_kto,33,14,19,0.424242,0.272354,0.591930,0.575758,,0
amendment_a,epistemic_type,subjective_normative,sft_merged,33,3,30,0.090909,0.031403,0.235729,0.909091,,0
amendment_a,epistemic_type,underspecified,sft_dpo,99,98,1,0.989899,0.944983,0.998215,0.010101,,0
amendment_a,epistemic_type,underspecified,sft_kto,99,26,73,0.262626,0.185980,0.357006,0.737374,,0
amendment_a,epistemic_type,underspecified,sft_merged,99,11,88,0.111111,0.063185,0.188091,0.888889,,0
amendment_a,primary_domain,arts_entertainment_literature,sft_dpo,17,16,1,0.941176,0.730175,0.989540,0.058824,,0
amendment_a,primary_domain,arts_entertainment_literature,sft_kto,17,8,9,0.470588,0.261648,0.690371,0.529412,,0
amendment_a,primary_domain,arts_entertainment_literature,sft_merged,17,9,8,0.529412,0.309629,0.738352,0.470588,,0
amendment_a,primary_domain,business_technology,sft_dpo,21,20,1,0.952381,0.773302,0.991544,0.047619,,0
amendment_a,primary_domain,business_technology,sft_kto,21,5,16,0.238095,0.106279,0.450916,0.761905,,0
amendment_a,primary_domain,business_technology,sft_merged,21,3,18,0.142857,0.049809,0.346365,0.857143,,0
amendment_a,primary_domain,everyday_practical_subjective,sft_dpo,166,143,23,0.861446,0.800672,0.905868,0.138554,,0
amendment_a,primary_domain,everyday_practical_subjective,sft_kto,166,99,67,0.596386,0.520386,0.668025,0.403614,,0
amendment_a,primary_domain,everyday_practical_subjective,sft_merged,166,90,76,0.542169,0.466279,0.616151,0.457831,,0
amendment_a,primary_domain,geography_places,sft_dpo,18,18,0,1.000000,0.824115,1.000000,0.000000,,0
amendment_a,primary_domain,geography_places,sft_kto,18,10,8,0.555556,0.337161,0.754408,0.444444,,0
amendment_a,primary_domain,geography_places,sft_merged,18,7,11,0.388889,0.203050,0.613813,0.611111,,0
amendment_a,primary_domain,history_politics_law,sft_dpo,13,13,0,1.000000,0.771898,1.000000,0.000000,,0
amendment_a,primary_domain,history_politics_law,sft_kto,13,2,11,0.153846,0.043257,0.422352,0.846154,,0
amendment_a,primary_domain,history_politics_law,sft_merged,13,2,11,0.153846,0.043257,0.422352,0.846154,,0
amendment_a,primary_domain,math_logic,sft_dpo,60,60,0,1.000000,0.939826,1.000000,0.000000,,0
amendment_a,primary_domain,math_logic,sft_kto,60,6,54,0.100000,0.046642,0.201497,0.900000,,0
amendment_a,primary_domain,math_logic,sft_merged,60,6,54,0.100000,0.046642,0.201497,0.900000,,0
amendment_a,primary_domain,other_unclear,sft_dpo,163,160,3,0.981595,0.947291,0.993721,0.018405,,0
amendment_a,primary_domain,other_unclear,sft_kto,163,74,89,0.453988,0.379491,0.530603,0.546012,,0
amendment_a,primary_domain,other_unclear,sft_merged,163,32,131,0.196319,0.142634,0.263989,0.803681,,0
amendment_a,primary_domain,people_biography,sft_dpo,1,1,0,1.000000,0.206543,1.000000,0.000000,,0
amendment_a,primary_domain,people_biography,sft_kto,1,0,1,0.000000,0.000000,0.793457,1.000000,,0
amendment_a,primary_domain,people_biography,sft_merged,1,0,1,0.000000,0.000000,0.793457,1.000000,,0
amendment_a,primary_domain,religion_philosophy_ethics,sft_dpo,57,56,1,0.982456,0.907090,0.996896,0.017544,,0
amendment_a,primary_domain,religion_philosophy_ethics,sft_kto,57,20,37,0.350877,0.240002,0.480583,0.649123,,0
amendment_a,primary_domain,religion_philosophy_ethics,sft_merged,57,7,50,0.122807,0.060780,0.232467,0.877193,,0
amendment_a,primary_domain,science_health,sft_dpo,98,97,1,0.989796,0.944444,0.998196,0.010204,,0
amendment_a,primary_domain,science_health,sft_kto,98,43,55,0.438776,0.344678,0.537492,0.561224,,0
amendment_a,primary_domain,science_health,sft_merged,98,23,75,0.234694,0.161784,0.327619,0.765306,,0
amendment_a,primary_domain,sports_games,sft_dpo,1,1,0,1.000000,0.206543,1.000000,0.000000,,0
amendment_a,primary_domain,sports_games,sft_kto,1,1,0,1.000000,0.206543,1.000000,0.000000,,0
amendment_a,primary_domain,sports_games,sft_merged,1,1,0,1.000000,0.206543,1.000000,0.000000,,0
amendment_b,epistemic_type,ambiguous,sft_dpo,48,46,2,0.958333,0.860241,0.988498,0.041667,0.846875,48
amendment_b,epistemic_type,ambiguous,sft_kto,48,39,9,0.812500,0.680599,0.898087,0.187500,0.745833,48
amendment_b,epistemic_type,ambiguous,sft_merged,48,35,13,0.729167,0.590028,0.834342,0.270833,0.666667,48
amendment_b,epistemic_type,counterfactual_hypothetical,sft_dpo,159,117,42,0.735849,0.662341,0.798230,0.264151,0.711006,159
amendment_b,epistemic_type,counterfactual_hypothetical,sft_kto,159,66,93,0.415094,0.341389,0.492805,0.584906,0.361950,159
amendment_b,epistemic_type,counterfactual_hypothetical,sft_merged,159,38,121,0.238994,0.179359,0.310943,0.761006,0.217296,159
amendment_b,epistemic_type,future_or_unverifiable,sft_dpo,63,54,9,0.857143,0.750252,0.922981,0.142857,0.732540,63
amendment_b,epistemic_type,future_or_unverifiable,sft_kto,63,37,26,0.587302,0.464151,0.700417,0.412698,0.490476,63
amendment_b,epistemic_type,future_or_unverifiable,sft_merged,63,17,46,0.269841,0.175837,0.390301,0.730159,0.234921,63
amendment_b,epistemic_type,impossible_false_premise,sft_dpo,24,21,3,0.875000,0.689957,0.956557,0.125000,0.847917,24
amendment_b,epistemic_type,impossible_false_premise,sft_kto,24,13,11,0.541667,0.350746,0.721089,0.458333,0.475000,24
amendment_b,epistemic_type,impossible_false_premise,sft_merged,24,11,13,0.458333,0.278911,0.649254,0.541667,0.441667,24
amendment_b,epistemic_type,math_word_problem_missing_info,sft_dpo,240,220,20,0.916667,0.874796,0.945409,0.083333,0.876250,240
amendment_b,epistemic_type,math_word_problem_missing_info,sft_kto,240,92,148,0.383333,0.324118,0.446225,0.616667,0.349167,240
amendment_b,epistemic_type,math_word_problem_missing_info,sft_merged,240,91,149,0.379167,0.320142,0.441998,0.620833,0.362083,240
amendment_b,epistemic_type,obscure_long_tail_fact,sft_dpo,1341,1058,283,0.788963,0.766314,0.809962,0.211037,0.731394,1341
amendment_b,epistemic_type,obscure_long_tail_fact,sft_kto,1341,610,731,0.454884,0.428399,0.481628,0.545116,0.385450,1341
amendment_b,epistemic_type,obscure_long_tail_fact,sft_merged,1341,516,825,0.384787,0.359110,0.411123,0.615213,0.341886,1338
amendment_b,epistemic_type,other_unclear,sft_dpo,21,14,7,0.666667,0.453731,0.828055,0.333333,0.592857,21
amendment_b,epistemic_type,other_unclear,sft_kto,21,6,15,0.285714,0.138137,0.499568,0.714286,0.271429,21
amendment_b,epistemic_type,other_unclear,sft_merged,21,5,16,0.238095,0.106279,0.450916,0.761905,0.228571,21
amendment_b,epistemic_type,subjective_normative,sft_dpo,135,104,31,0.770370,0.692529,0.833250,0.229630,0.727407,135
amendment_b,epistemic_type,subjective_normative,sft_kto,135,62,73,0.459259,0.377485,0.543288,0.540741,0.378148,135
amendment_b,epistemic_type,subjective_normative,sft_merged,135,34,101,0.251852,0.186188,0.331248,0.748148,0.211481,135
amendment_b,epistemic_type,underspecified,sft_dpo,384,289,95,0.752604,0.707085,0.793120,0.247396,0.707292,384
amendment_b,epistemic_type,underspecified,sft_kto,384,136,248,0.354167,0.307991,0.403232,0.645833,0.315885,384
amendment_b,epistemic_type,underspecified,sft_merged,384,79,305,0.205729,0.168307,0.248980,0.794271,0.196224,384
amendment_b,primary_domain,arts_entertainment_literature,sft_dpo,63,48,15,0.761905,0.643641,0.850063,0.238095,0.670635,63
amendment_b,primary_domain,arts_entertainment_literature,sft_kto,63,19,44,0.301587,0.202375,0.423606,0.698413,0.221429,63
amendment_b,primary_domain,arts_entertainment_literature,sft_merged,63,25,38,0.396825,0.285317,0.520193,0.603175,0.303175,63
amendment_b,primary_domain,business_technology,sft_dpo,27,23,4,0.851852,0.675209,0.940842,0.148148,0.762963,27
amendment_b,primary_domain,business_technology,sft_kto,27,10,17,0.370370,0.215323,0.557711,0.629630,0.338889,27
amendment_b,primary_domain,business_technology,sft_merged,27,11,16,0.407407,0.245145,0.592736,0.592593,0.374074,27
amendment_b,primary_domain,everyday_practical_subjective,sft_dpo,639,472,167,0.738654,0.703233,0.771223,0.261346,0.694836,639
amendment_b,primary_domain,everyday_practical_subjective,sft_kto,639,294,345,0.460094,0.421803,0.498862,0.539906,0.350704,639
amendment_b,primary_domain,everyday_practical_subjective,sft_merged,639,299,340,0.467919,0.429537,0.506683,0.532081,0.401251,638
amendment_b,primary_domain,geography_places,sft_dpo,48,44,4,0.916667,0.804464,0.967117,0.083333,0.820833,48
amendment_b,primary_domain,geography_places,sft_kto,48,32,16,0.666667,0.525398,0.783234,0.333333,0.583333,48
amendment_b,primary_domain,geography_places,sft_merged,48,25,23,0.520833,0.383290,0.655289,0.479167,0.498958,48
amendment_b,primary_domain,history_politics_law,sft_dpo,36,27,9,0.750000,0.589292,0.862497,0.250000,0.720833,36
amendment_b,primary_domain,history_politics_law,sft_kto,36,14,22,0.388889,0.247847,0.551358,0.611111,0.352778,36
amendment_b,primary_domain,history_politics_law,sft_merged,36,10,26,0.277778,0.158482,0.439928,0.722222,0.263889,36
amendment_b,primary_domain,math_logic,sft_dpo,294,268,26,0.911565,0.873577,0.938936,0.088435,0.857143,294
amendment_b,primary_domain,math_logic,sft_kto,294,105,189,0.357143,0.304536,0.413435,0.642857,0.320408,294
amendment_b,primary_domain,math_logic,sft_merged,294,99,195,0.336735,0.285127,0.392554,0.663265,0.321769,294
amendment_b,primary_domain,other_unclear,sft_dpo,708,566,142,0.799435,0.768359,0.827279,0.200565,0.751907,708
amendment_b,primary_domain,other_unclear,sft_kto,708,321,387,0.453390,0.417069,0.490213,0.546610,0.413206,708
amendment_b,primary_domain,other_unclear,sft_merged,708,187,521,0.264124,0.232985,0.297809,0.735876,0.248868,707
amendment_b,primary_domain,people_biography,sft_dpo,3,3,0,1.000000,0.438494,1.000000,0.000000,0.766667,3
amendment_b,primary_domain,people_biography,sft_kto,3,0,3,0.000000,0.000000,0.561506,1.000000,0.000000,3
amendment_b,primary_domain,people_biography,sft_merged,3,0,3,0.000000,0.000000,0.561506,1.000000,0.000000,3
amendment_b,primary_domain,religion_philosophy_ethics,sft_dpo,261,191,70,0.731801,0.674976,0.781901,0.268199,0.705556,261
amendment_b,primary_domain,religion_philosophy_ethics,sft_kto,261,84,177,0.321839,0.268098,0.380749,0.678161,0.306897,261
amendment_b,primary_domain,religion_philosophy_ethics,sft_merged,261,55,206,0.210728,0.165627,0.264220,0.789272,0.195594,261
amendment_b,primary_domain,science_health,sft_dpo,333,279,54,0.837838,0.794433,0.873537,0.162162,0.746697,333
amendment_b,primary_domain,science_health,sft_kto,333,181,152,0.543544,0.489851,0.596243,0.456456,0.476541,333
amendment_b,primary_domain,science_health,sft_merged,333,115,218,0.345345,0.296300,0.397918,0.654655,0.315500,332
amendment_b,primary_domain,sports_games,sft_dpo,3,2,1,0.666667,0.207655,0.938510,0.333333,0.633333,3
amendment_b,primary_domain,sports_games,sft_kto,3,1,2,0.333333,0.061490,0.792345,0.666667,0.316667,3
amendment_b,primary_domain,sports_games,sft_merged,3,0,3,0.000000,0.000000,0.561506,1.000000,0.000000,3
